Row_ID,Date,Location,Survey_No,Survey_Start_Time,Start_Location,BSS,DSS,Vessels,JetSkis,Swimmers,Dolphin_Sighting,Sighting_Start_Time,Sighting_End_Time,Dolphin_Interaction,Interaction_Start_Time,Interaction_End_Time,Effort,Survey_End_Time,Total_Time,End_Location,NOTES
5405873,7/13/2024,Icacos,1,11:12:00,Old_Pilings,1,1,16,2,181,No,NA,NA,No,NA,NA,On,11:21:00,9,Small_Old_Reef,"12 vessels in bay, 2 manned jet skis "
5405874,7/13/2024,Icacos,2,11:42:00,Yellow_Sign,1,1,39,0,273,No,NA,NA,No,NA,NA,On,11:57:00,15,Old_Pilings,No manned jet skis 
5405875,7/13/2024,Icacos,3,12:07:00,Old_Pilings ,1,1,37,2,256,No,NA,NA,No,NA,NA,On,12:20:00,13,Small_Old_Reef,2 manned jet skis 
5405876,7/13/2024,Icacos,4,12:40:00,Yellow_Sign,1,1,33,4,244,No,NA,NA,No,NA,NA,On,12:53:00,13,Old_Pilings,4 manned jet skis
5405877,7/13/2024,Icacos,5,13:04:00,Old_Pilings,2,1,34,2,241,No,NA,NA,No,NA,NA,On,13:15:00,11,Yellow_Sign,2 manned jet ski
5405878,7/13/2024,Icacos,6,13:36:00,Yellow_Sign,1,1,49,2,288,No,NA,NA,No,NA,NA,On,13:39:00,3,Old_Pilings,2 manned jet ski
5405879,7/13/2024,Icacos,7,14:19:00,Yellow_Sign,1,1,37,2,257,No,NA,NA,No,NA,NA,On,14:30:00,11,Old_Pilings,2 manned jetski 
5405880,7/14/2024,Icacos,1,9:02:00,Red_Sign,1,1,7,1,36,No,NA,NA,No,NA,NA,On,9:07:00,10,Pier,
5405862,7/14/2024,Icacos,2,9:31:00,Point,1,1,18,1,113,No,NA,NA,No,NA,NA,On,9:42:00,17,Yellow_Sign ,
5405881,7/14/2024,Icacos,3,10:03:00,Point ,1,1,29,8,200,No,NA,NA,No,NA,NA,On,10:10:00,12,Yellow_Sign ,
5405866,7/14/2024,Icacos,4,10:33:00,Point,1,1,58,5,276,No,NA,NA,No,NA,NA,On,10:43:00,16,Yellow_Sign ,
5405868,7/14/2024,Icacos,5,11:01:00,Point,1,1,60,8,288,No,NA,NA,No,NA,NA,On,11:11:00,19,Yellow_Sign ,
5405870,7/14/2024,Icacos,6,11:33:00,Point,1,1,67,14,353,No,NA,NA,No,NA,NA,On,11:55:00,29,Icacos_Reef_Point,
5405873,7/14/2024,Icacos,7,12:20:00,Point,1,1,91,16,271,No,NA,NA,No,NA,NA,On,12:30:00,17,Icacos_Reef_Point,
5405875,7/14/2024,Icacos,8,12:53:00,Point,1,1,75,32,359,No,NA,NA,No,NA,NA,On,13:05:00,18,Yellow_Sign ,
5405877,7/14/2024,Icacos,9,13:23:00,Point,1,1,99,14,319,No,NA,NA,No,NA,NA,On,13:35:00,20,Icacos_Reef_Point,
5405879,7/14/2024,Icacos,10,14:04:00,Point,0,1,132,27,351,No,NA,NA,No,NA,NA,On,14:24:00,32,Icacos_Reef_Point,
5407618,7/16/2024,Palominos,1,9:46:00,East_Beach,1,1,8,1,26,No,NA,NA,No,NA,NA,On,9:56:00,10,Dock,Counted vessels and swimmers in public area from dock. Staff wouldn’t let me jump the fence into the public beach 
5407619,7/16/2024,Icacos,1,10:23:00,Pier,2,1,13,1,125,No,NA,NA,No,NA,NA,On,10:33:00,10,Icacos_Reef_Point,"Was told I could go over to that side, so I did but then on the way back I got yelled at by staff. "
5407620,7/16/2024,Palominos,2,10:29:00,East_Beach,1,1,15,5,65,No,NA,NA,No,NA,NA,On,10:47:00,18,Public_Beach,Went along back of island 
5407622,7/16/2024,Icacos,2,11:23:00,Pier,2,0,21,1,205,No,NA,NA,No,NA,NA,On,11:34:00,11,Icacos_Reef_Point,
5407621,7/16/2024,Palominos,3,11:18:00,East_Beach,1,1,1,1,55,No,NA,NA,No,NA,NA,On,11:25:00,7,Dock,14 boats on public side - hard to see
5407625,7/16/2024,Icacos,3,12:23:00,Pier,2,1,22,1,85,No,NA,NA,No,NA,NA,On,12:35:00,12,Icacos_Reef_Point,2 paddleboarders
5407623,7/16/2024,Palominos,4,11:45:00,No_Lifeguard_Sign ,1,1,0,3,68,No,NA,NA,No,NA,NA,On,11:51:00,6,Dock,18 boats in public area
