Video Information,,,,,,,,,,Dolphin Information,,,,,,,,,,,,,,,,,,Vessel and Swimmer Information,,,,,,,,NOTES
Posted_Date,Interaction_Date,Encounter_No,Platform,Search_Term,Hashtags,Video_Length,Time_Point,Video_Quality,Video_Location,Dolphin_Presence,General_Location,BSS,DSS,Total_Min,Total_Max,Total_Best,Calves_Min,Calves_Max,Calves_Best,YoY_Min,YoY_Max,YoY_Best,Sex,Subgroups,Group_Cohesion,PDGBehav,HIBehav,Vessels_10m,Vessels_50m,PDVBehav,Vessel_Names,Swimmers_10,Swimmers_50,PDSBehav,IRC,
12/24/2021,12/24/2021,0001,FB,Icacos_Dolphins,#puertorico#tropicallifepr#dolphins,0:17,0:05,3,BO,Y,Icacos_SouthBeach,1,1,2,2,2,0,0,0,0,0,0,UNK,1,1,HI,AGR,2,2,NP,Spread_Eagle_II,10,10,CHA,"D1,H1",Leaping near swimmers. Video was found to be reposted but originally from Spread Eagle account 
12/24/2021,12/24/2021,0001,FB,Icacos_Dolphins,#puertorico#tropicallifepr#dolphins,0:17,0:10,3,BO,Y,Icacos_SouthBeach,1,1,2,2,2,0,0,0,0,0,0,UNK,1,1,HI,RC,2,2,NP,Spread_Eagle_II,10,10,CHA,"D1,D2",
12/24/2021,12/24/2021,0001,FB,Icacos_Dolphins,#puertorico#tropicallifepr#dolphins,0:17,0:15,3,BO,Y,Icacos_SouthBeach,1,1,2,2,2,0,0,0,0,0,0,UNK,1,1,HI,AGR,2,2,NP,Spread_Eagle_II,10,10,CHA,"D1,H1",Leaping near swimmers
05/13/2023,NA,0002,FB,Icacos_Dolphins,#infinitycharterpr#dolphins#icacos#palominos#vieques#lifeisgood#vacationmode#lovessunset#bucketlist#familyvacation,0:20,0:05,3,BO,N,Offshore,2,3,0,0,0,0,0,0,0,0,0,UNK,1,NA,TRV,NA,1,1,MC,NA,0,0,NA,NA,
05/13/2023,NA,0002,FB,Icacos_Dolphins,#infinitycharterpr#dolphins#icacos#palominos#vieques#lifeisgood#vacationmode#lovessunset#bucketlist#familyvacation,0:20,0:10,3,BO,Y,Offshore,2,3,1,2,1,0,0,0,0,0,0,UNK,1,NA,TRV,NA,1,1,MC,NA,0,0,NA,NA,
05/13/2023,NA,0002,FB,Icacos_Dolphins,#infinitycharterpr#dolphins#icacos#palominos#vieques#lifeisgood#vacationmode#lovessunset#bucketlist#familyvacation,0:20,0:15,3,BO,Y,Offshore,2,3,1,2,1,0,0,0,0,0,0,UNK,1,NA,TRV,NA,1,1,MC,NA,0,0,NA,NA,
05/13/2023,NA,0002,FB,Icacos_Dolphins,#infinitycharterpr#dolphins#icacos#palominos#vieques#lifeisgood#vacationmode#lovessunset#bucketlist#familyvacation,0:20,0:20,3,BO,Y,Offshore,2,3,2,2,2,0,0,0,0,0,0,UNK,1,2,TRV,NA,1,1,MC,NA,0,0,NA,NA,
06/10/2024,NA,0003,FB,Icacos_Dolphins,#PuertoRicoGram#PuertoRico#PR#Fajardo#dolphin#Wepa,0:25,0:05,3,BO,Y,Icacos,1,1,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,AGR,1,1,NP,NA,8,8,TCH,"D1,H1",Rapid movement around swimmers. Note that this video displays highly egregious human-dolphin interactions
06/10/2024,NA,0003,FB,Icacos_Dolphins,#PuertoRicoGram#PuertoRico#PR#Fajardo#dolphin#Wepa,0:25,0:10,3,BO,Y,Icacos,1,1,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,AGR,1,1,NP,NA,8,8,TCH,"D1,H1","Chuffing, rapid movement"
06/10/2024,NA,0003,FB,Icacos_Dolphins,#PuertoRicoGram#PuertoRico#PR#Fajardo#dolphin#Wepa,0:25,0:15,3,BO,Y,Icacos,1,1,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,AGR,1,1,NP,NA,8,8,TCH,"D1,H1",Rapid movement. Dolphin barrel rolls into swimmer
